origin_store_name,origin_loccode,Origin Lat Long,destination_store_name,destination_loccode,DH Lat Long,GH_Distance_km,GH_Travel_Time_mins
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-GUNJUR,BLR087S,"12.9286633,77.7380822",57.44628015,70.84366667
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-INDIRANAGAR NEW,BLR044S,"12.962298,77.645909",42.221823,51.86366667
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Sarjapur-2,BLR079S,"12.9026566,77.6613229",65.5325034,63.8635
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR- Sonnenahalli New,BLR012S,"12.9617011886488,77.4990148182513",30.903201,36.868625
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Mico Layout Network,BLR011S,"12.87771825,77.64508193",62.8221468,58.13377083
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Mico layout network-2,BLR102S,"12.9036895968,77.628577654",46.3277892,57.79197917
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Mico layout New,BLR183S,"12.892833,77.628083",47.72508195,60.96452083
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-RR Nagar Network,BLR115S,"12.9031547,77.51191762",40.875303,44.216625
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-RR NAGAR NEW,BLR274S,"12.920088, 77.522707",38.04305505,47.18789583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-ITPL Layout,BLR178S,"12.96191262,77.71678497",51.67571745,63.60575
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-JAYANAGAR New,BLR092S,"12.941703,77.580188",38.15049105,45.91779167
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Sarjapur New,BLR237S,"12.90853465,77.67692834",50.77312485,63.59025
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-VIJAY NAGAR,BLR031S,"12.96845,77.5381",34.09387485,39.36389583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Vijay Nagar Network,BLR060S,"12.960476,77.519569",32.96979735,39.5294375
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-27th Main Road,BLR181S,"12.92066697,77.64927694",47.1030021,57.876125
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Doddakannelli,BLR081S,"12.905929,77.697433",52.32287445,66.61002083
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-GUNJUR Network,BLR017S,"12.93949838,77.72908936",54.012231,67.41070833
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Koramangala Network,BLR038S,"12.9444629,77.6181869",41.10127035,50.600375
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Marathahalli 2,BLR023S,"12.974679980246,77.6970017422899",50.74869975,63.26345833
