Origin_DH,Origin_Code,Dest_DH,Dest_Code,Distance_km,Time_mins
BLR-Brookfield Network-2,BLR129S,BLR-Kothnur New,BLR257S,28.9051161,38.2365
BLR-Brookfield Network-2,BLR129S,BLR-RICHMOND TOWN,BLR077S,14.919303000000003,20.135562500000002
BLR-Brookfield Network-2,BLR129S,BLR-Whitefield New,BLR262S,6.6211078500000005,9.439645833333334
BLR-Brookfield Network-2,BLR129S,BLR-JP Nagar Network-2,BLR108S,26.9969553,36.7188125
BLR-Brookfield Network-2,BLR129S,BLR-Banjara Layout,BLR150S,11.2917441,17.299479166666668
BLR-Brookfield Network-2,BLR129S,BLR-Yelahanka Network,BLR120S,30.7977558,43.47677083333333
BLR-Brookfield Network-2,BLR129S,BLR-HEBBAL NEW,BLR033S,16.8468363,24.470270833333334
BLR-Brookfield Network-2,BLR129S,BLR-Kannika Nagar,BLR116S,31.029140100000003,44.22385416666667
BLR-Brookfield Network-2,BLR129S,BLR-CV RAMAN NAGAR NEW,BLR091S,7.3526796,10.902479166666668
BLR-Brookfield Network-2,BLR129S,BLR-Sanjaynagar,BLR190S,21.40896345,28.953000000000003
